group,sample1,sample2,label
train,100_1_1_1.bmp,100_1_1_10.bmp,0
train,100_1_1_1.bmp,100_1_1_2.bmp,0
train,100_1_1_1.bmp,100_1_1_3.bmp,0
train,100_1_1_1.bmp,100_1_1_4.bmp,0
train,100_1_1_1.bmp,100_1_1_5.bmp,0
train,100_1_1_1.bmp,100_1_1_6.bmp,0
train,100_1_1_1.bmp,100_1_1_7.bmp,0
train,100_1_1_1.bmp,100_1_1_8.bmp,0
train,100_1_1_1.bmp,100_1_1_9.bmp,0
train,100_1_1_10.bmp,100_1_1_2.bmp,0
train,100_1_1_10.bmp,100_1_1_3.bmp,0
train,100_1_1_10.bmp,100_1_1_4.bmp,0
train,100_1_1_10.bmp,100_1_1_5.bmp,0
train,100_1_1_10.bmp,100_1_1_6.bmp,0
train,100_1_1_10.bmp,100_1_1_7.bmp,0
train,100_1_1_10.bmp,100_1_1_8.bmp,0
train,100_1_1_10.bmp,100_1_1_9.bmp,0
train,100_1_1_2.bmp,100_1_1_3.bmp,0
train,100_1_1_2.bmp,100_1_1_4.bmp,0
train,100_1_1_2.bmp,100_1_1_5.bmp,0
train,100_1_1_2.bmp,100_1_1_6.bmp,0
train,100_1_1_2.bmp,100_1_1_7.bmp,0
train,100_1_1_2.bmp,100_1_1_8.bmp,0
train,100_1_1_2.bmp,100_1_1_9.bmp,0
train,100_1_1_3.bmp,100_1_1_4.bmp,0
train,100_1_1_3.bmp,100_1_1_5.bmp,0
train,100_1_1_3.bmp,100_1_1_6.bmp,0
train,100_1_1_3.bmp,100_1_1_7.bmp,0
train,100_1_1_3.bmp,100_1_1_8.bmp,0
train,100_1_1_3.bmp,100_1_1_9.bmp,0
train,100_1_1_4.bmp,100_1_1_5.bmp,0
train,100_1_1_4.bmp,100_1_1_6.bmp,0
train,100_1_1_4.bmp,100_1_1_7.bmp,0
train,100_1_1_4.bmp,100_1_1_8.bmp,0
train,100_1_1_4.bmp,100_1_1_9.bmp,0
train,100_1_1_5.bmp,100_1_1_6.bmp,0
train,100_1_1_5.bmp,100_1_1_7.bmp,0
train,100_1_1_5.bmp,100_1_1_8.bmp,0
train,100_1_1_5.bmp,100_1_1_9.bmp,0
train,100_1_1_6.bmp,100_1_1_7.bmp,0
train,100_1_1_6.bmp,100_1_1_8.bmp,0
train,100_1_1_6.bmp,100_1_1_9.bmp,0
train,100_1_1_7.bmp,100_1_1_8.bmp,0
train,100_1_1_7.bmp,100_1_1_9.bmp,0
train,100_1_1_8.bmp,100_1_1_9.bmp,0
train,100_1_2_1.bmp,100_1_2_10.bmp,1
train,100_1_2_1.bmp,100_1_2_2.bmp,1
train,100_1_2_1.bmp,100_1_2_3.bmp,1
train,100_1_2_1.bmp,100_1_2_4.bmp,1
train,100_1_2_1.bmp,100_1_2_5.bmp,1
train,100_1_2_1.bmp,100_1_2_6.bmp,1
train,100_1_2_1.bmp,100_1_2_7.bmp,1
train,100_1_2_1.bmp,100_1_2_8.bmp,1
train,100_1_2_1.bmp,100_1_2_9.bmp,1
train,100_1_2_10.bmp,100_1_2_2.bmp,1
train,100_1_2_10.bmp,100_1_2_3.bmp,1
train,100_1_2_10.bmp,100_1_2_4.bmp,1
train,100_1_2_10.bmp,100_1_2_5.bmp,1
train,100_1_2_10.bmp,100_1_2_6.bmp,1
train,100_1_2_10.bmp,100_1_2_7.bmp,1
train,100_1_2_10.bmp,100_1_2_8.bmp,1
train,100_1_2_10.bmp,100_1_2_9.bmp,1
train,100_1_2_2.bmp,100_1_2_3.bmp,1
train,100_1_2_2.bmp,100_1_2_4.bmp,1
train,100_1_2_2.bmp,100_1_2_5.bmp,1
train,100_1_2_2.bmp,100_1_2_6.bmp,1
train,100_1_2_2.bmp,100_1_2_7.bmp,1
train,100_1_2_2.bmp,100_1_2_8.bmp,1
train,100_1_2_2.bmp,100_1_2_9.bmp,1
