group,sample1,sample2,label
train,o_039/Left/Series_1/P_o039_L_S1_Nr1.bmp,o_039/Left/Series_1/P_o039_L_S1_Nr2.bmp,0
train,o_039/Left/Series_1/P_o039_L_S1_Nr2.bmp,o_039/Left/Series_1/P_o039_L_S1_Nr3.bmp,0
train,o_039/Left/Series_1/P_o039_L_S1_Nr3.bmp,o_039/Left/Series_1/P_o039_L_S1_Nr4.bmp,0
train,o_039/Left/Series_1/P_o039_L_S1_Nr4.bmp,o_039/Left/Series_2/P_o039_L_S2_Nr1.bmp,0
train,o_039/Left/Series_2/P_o039_L_S2_Nr1.bmp,o_039/Left/Series_2/P_o039_L_S2_Nr2.bmp,0
train,o_039/Left/Series_2/P_o039_L_S2_Nr2.bmp,o_039/Left/Series_2/P_o039_L_S2_Nr3.bmp,0
train,o_039/Left/Series_2/P_o039_L_S2_Nr3.bmp,o_039/Left/Series_2/P_o039_L_S2_Nr4.bmp,0
train,o_039/Left/Series_2/P_o039_L_S2_Nr4.bmp,o_039/Left/Series_3/P_o039_L_S3_Nr1.bmp,0
train,o_039/Left/Series_3/P_o039_L_S3_Nr1.bmp,o_039/Left/Series_3/P_o039_L_S3_Nr2.bmp,0
train,o_039/Left/Series_3/P_o039_L_S3_Nr2.bmp,o_039/Left/Series_3/P_o039_L_S3_Nr3.bmp,0
train,o_039/Left/Series_3/P_o039_L_S3_Nr3.bmp,o_039/Left/Series_3/P_o039_L_S3_Nr4.bmp,0
train,o_039/Left/Series_3/P_o039_L_S3_Nr4.bmp,o_039/Left/Series_1/P_o039_L_S1_Nr1.bmp,0
train,o_040/Right/Series_1/P_o040_R_S1_Nr1.bmp,o_040/Right/Series_1/P_o040_R_S1_Nr2.bmp,1
train,o_040/Right/Series_1/P_o040_R_S1_Nr2.bmp,o_040/Right/Series_1/P_o040_R_S1_Nr3.bmp,1
train,o_040/Right/Series_1/P_o040_R_S1_Nr3.bmp,o_040/Right/Series_1/P_o040_R_S1_Nr4.bmp,1
train,o_040/Right/Series_1/P_o040_R_S1_Nr4.bmp,o_040/Right/Series_2/P_o040_R_S2_Nr1.bmp,1
train,o_040/Right/Series_2/P_o040_R_S2_Nr1.bmp,o_040/Right/Series_2/P_o040_R_S2_Nr2.bmp,1
