group,sample1,sample2,label
train,143/143_1.bmp,143/143_2.bmp,0
train,143/143_2.bmp,143/143_3.bmp,0
train,143/143_3.bmp,143/143_4.bmp,0
train,143/143_4.bmp,143/143_5.bmp,0
train,143/143_5.bmp,143/143_6.bmp,0
train,143/143_6.bmp,143/143_7.bmp,0
train,143/143_7.bmp,143/143_8.bmp,0
train,143/143_8.bmp,143/143_9.bmp,0
train,143/143_9.bmp,143/143_10.bmp,0
train,143/143_10.bmp,143/143_11.bmp,0
train,143/143_11.bmp,143/143_12.bmp,0
train,143/143_12.bmp,143/143_13.bmp,0
train,143/143_13.bmp,143/143_14.bmp,0
train,143/143_14.bmp,143/143_15.bmp,0
train,143/143_15.bmp,143/143_16.bmp,0
train,143/143_16.bmp,143/143_17.bmp,0
train,143/143_17.bmp,143/143_18.bmp,0
train,143/143_18.bmp,143/143_19.bmp,0
train,143/143_19.bmp,143/143_20.bmp,0
train,143/143_20.bmp,143/143_21.bmp,0
train,143/143_21.bmp,143/143_22.bmp,0
train,143/143_22.bmp,143/143_23.bmp,0
train,143/143_23.bmp,143/143_24.bmp,0
train,143/143_24.bmp,143/143_25.bmp,0
train,143/143_25.bmp,143/143_26.bmp,0
train,143/143_26.bmp,143/143_27.bmp,0
train,143/143_27.bmp,143/143_28.bmp,0
train,143/143_28.bmp,143/143_29.bmp,0
train,143/143_29.bmp,143/143_30.bmp,0
train,143/143_30.bmp,143/143_1.bmp,0
train,114/114_1.bmp,114/114_2.bmp,1
train,114/114_2.bmp,114/114_3.bmp,1
train,114/114_3.bmp,114/114_4.bmp,1
train,114/114_4.bmp,114/114_5.bmp,1
train,114/114_5.bmp,114/114_6.bmp,1
train,114/114_6.bmp,114/114_7.bmp,1
train,114/114_7.bmp,114/114_8.bmp,1
train,114/114_8.bmp,114/114_9.bmp,1
train,114/114_9.bmp,114/114_10.bmp,1
train,114/114_10.bmp,114/114_11.bmp,1
train,114/114_11.bmp,114/114_12.bmp,1
train,114/114_12.bmp,114/114_13.bmp,1
train,114/114_13.bmp,114/114_14.bmp,1
train,114/114_14.bmp,114/114_15.bmp,1
train,114/114_15.bmp,114/114_16.bmp,1
train,114/114_16.bmp,114/114_17.bmp,1
train,114/114_17.bmp,114/114_18.bmp,1
train,114/114_18.bmp,114/114_19.bmp,1
train,114/114_19.bmp,114/114_20.bmp,1
train,114/114_20.bmp,114/114_21.bmp,1
train,114/114_21.bmp,114/114_22.bmp,1
train,114/114_22.bmp,114/114_23.bmp,1
train,114/114_23.bmp,114/114_24.bmp,1
train,114/114_24.bmp,114/114_25.bmp,1
train,114/114_25.bmp,114/114_26.bmp,1
train,114/114_26.bmp,114/114_27.bmp,1
train,114/114_27.bmp,114/114_28.bmp,1
train,114/114_28.bmp,114/114_29.bmp,1
train,114/114_29.bmp,114/114_30.bmp,1
train,114/114_30.bmp,114/114_1.bmp,1
train,329/329_1.bmp,329/329_2.bmp,2
train,329/329_2.bmp,329/329_3.bmp,2
train,329/329_3.bmp,329/329_4.bmp,2
train,329/329_4.bmp,329/329_5.bmp,2
train,329/329_5.bmp,329/329_6.bmp,2
train,329/329_6.bmp,329/329_7.bmp,2
train,329/329_7.bmp,329/329_8.bmp,2
train,329/329_8.bmp,329/329_9.bmp,2
train,329/329_9.bmp,329/329_10.bmp,2
train,329/329_10.bmp,329/329_11.bmp,2
train,329/329_11.bmp,329/329_12.bmp,2
train,329/329_12.bmp,329/329_13.bmp,2
train,329/329_13.bmp,329/329_14.bmp,2
train,329/329_14.bmp,329/329_15.bmp,2
train,329/329_15.bmp,329/329_16.bmp,2
train,329/329_16.bmp,329/329_17.bmp,2
train,329/329_17.bmp,329/329_18.bmp,2
train,329/329_18.bmp,329/329_19.bmp,2
train,329/329_19.bmp,329/329_20.bmp,2
train,329/329_20.bmp,329/329_21.bmp,2
train,329/329_21.bmp,329/329_22.bmp,2
train,329/329_22.bmp,329/329_23.bmp,2
train,329/329_23.bmp,329/329_24.bmp,2
train,329/329_24.bmp,329/329_25.bmp,2
train,329/329_25.bmp,329/329_26.bmp,2
train,329/329_26.bmp,329/329_27.bmp,2
train,329/329_27.bmp,329/329_28.bmp,2
train,329/329_28.bmp,329/329_29.bmp,2
train,329/329_29.bmp,329/329_30.bmp,2
train,329/329_30.bmp,329/329_1.bmp,2
train,318/318_1.bmp,318/318_2.bmp,3
train,318/318_2.bmp,318/318_3.bmp,3
train,318/318_3.bmp,318/318_4.bmp,3
train,318/318_4.bmp,318/318_5.bmp,3
train,318/318_5.bmp,318/318_6.bmp,3
train,318/318_6.bmp,318/318_7.bmp,3
train,318/318_7.bmp,318/318_8.bmp,3
train,318/318_8.bmp,318/318_9.bmp,3
train,318/318_9.bmp,318/318_10.bmp,3
train,318/318_10.bmp,318/318_11.bmp,3
train,318/318_11.bmp,318/318_12.bmp,3
train,318/318_12.bmp,318/318_13.bmp,3
train,318/318_13.bmp,318/318_14.bmp,3
train,318/318_14.bmp,318/318_15.bmp,3
train,318/318_15.bmp,318/318_16.bmp,3
train,318/318_16.bmp,318/318_17.bmp,3
train,318/318_17.bmp,318/318_18.bmp,3
train,318/318_18.bmp,318/318_19.bmp,3
train,318/318_19.bmp,318/318_20.bmp,3
train,318/318_20.bmp,318/318_21.bmp,3
train,318/318_21.bmp,318/318_22.bmp,3
train,318/318_22.bmp,318/318_23.bmp,3
train,318/318_23.bmp,318/318_24.bmp,3
train,318/318_24.bmp,318/318_25.bmp,3
train,318/318_25.bmp,318/318_26.bmp,3
train,318/318_26.bmp,318/318_27.bmp,3
train,318/318_27.bmp,318/318_28.bmp,3
train,318/318_28.bmp,318/318_29.bmp,3
train,318/318_29.bmp,318/318_30.bmp,3
train,318/318_30.bmp,318/318_1.bmp,3
train,17/17_1.bmp,17/17_2.bmp,4
train,17/17_2.bmp,17/17_3.bmp,4
train,17/17_3.bmp,17/17_4.bmp,4
train,17/17_4.bmp,17/17_5.bmp,4
train,17/17_5.bmp,17/17_6.bmp,4
train,17/17_6.bmp,17/17_7.bmp,4
train,17/17_7.bmp,17/17_8.bmp,4
train,17/17_8.bmp,17/17_9.bmp,4
train,17/17_9.bmp,17/17_10.bmp,4
train,17/17_10.bmp,17/17_11.bmp,4
train,17/17_11.bmp,17/17_12.bmp,4
train,17/17_12.bmp,17/17_13.bmp,4
train,17/17_13.bmp,17/17_14.bmp,4
train,17/17_14.bmp,17/17_15.bmp,4
train,17/17_15.bmp,17/17_16.bmp,4
train,17/17_16.bmp,17/17_17.bmp,4
train,17/17_17.bmp,17/17_18.bmp,4
train,17/17_18.bmp,17/17_19.bmp,4
train,17/17_19.bmp,17/17_20.bmp,4
train,17/17_20.bmp,17/17_21.bmp,4
train,17/17_21.bmp,17/17_22.bmp,4
train,17/17_22.bmp,17/17_23.bmp,4
train,17/17_23.bmp,17/17_24.bmp,4
train,17/17_24.bmp,17/17_25.bmp,4
train,17/17_25.bmp,17/17_26.bmp,4
train,17/17_26.bmp,17/17_27.bmp,4
train,17/17_27.bmp,17/17_28.bmp,4
train,17/17_28.bmp,17/17_29.bmp,4
train,17/17_29.bmp,17/17_30.bmp,4
train,17/17_30.bmp,17/17_1.bmp,4
train,144/144_1.bmp,144/144_2.bmp,5
train,144/144_2.bmp,144/144_3.bmp,5
train,144/144_3.bmp,144/144_4.bmp,5
train,144/144_4.bmp,144/144_5.bmp,5
train,144/144_5.bmp,144/144_6.bmp,5
train,144/144_6.bmp,144/144_7.bmp,5
train,144/144_7.bmp,144/144_8.bmp,5
train,144/144_8.bmp,144/144_9.bmp,5
train,144/144_9.bmp,144/144_10.bmp,5
train,144/144_10.bmp,144/144_11.bmp,5
train,144/144_11.bmp,144/144_12.bmp,5
train,144/144_12.bmp,144/144_13.bmp,5
train,144/144_13.bmp,144/144_14.bmp,5
train,144/144_14.bmp,144/144_15.bmp,5
train,144/144_15.bmp,144/144_16.bmp,5
train,144/144_16.bmp,144/144_17.bmp,5
train,144/144_17.bmp,144/144_18.bmp,5
train,144/144_18.bmp,144/144_19.bmp,5
train,144/144_19.bmp,144/144_20.bmp,5
train,144/144_20.bmp,144/144_21.bmp,5
train,144/144_21.bmp,144/144_22.bmp,5
train,144/144_22.bmp,144/144_23.bmp,5
train,144/144_23.bmp,144/144_24.bmp,5
train,144/144_24.bmp,144/144_25.bmp,5
train,144/144_25.bmp,144/144_26.bmp,5
train,144/144_26.bmp,144/144_27.bmp,5
train,144/144_27.bmp,144/144_28.bmp,5
train,144/144_28.bmp,144/144_29.bmp,5
train,144/144_29.bmp,144/144_30.bmp,5
train,144/144_30.bmp,144/144_1.bmp,5
train,219/219_1.bmp,219/219_2.bmp,6
train,219/219_2.bmp,219/219_3.bmp,6
train,219/219_3.bmp,219/219_4.bmp,6
train,219/219_4.bmp,219/219_5.bmp,6
train,219/219_5.bmp,219/219_6.bmp,6
train,219/219_6.bmp,219/219_7.bmp,6
train,219/219_7.bmp,219/219_8.bmp,6
train,219/219_8.bmp,219/219_9.bmp,6
train,219/219_9.bmp,219/219_10.bmp,6
train,219/219_10.bmp,219/219_11.bmp,6
train,219/219_11.bmp,219/219_12.bmp,6
train,219/219_12.bmp,219/219_13.bmp,6
train,219/219_13.bmp,219/219_14.bmp,6
train,219/219_14.bmp,219/219_15.bmp,6
train,219/219_15.bmp,219/219_16.bmp,6
train,219/219_16.bmp,219/219_17.bmp,6
train,219/219_17.bmp,219/219_18.bmp,6
train,219/219_18.bmp,219/219_19.bmp,6
train,219/219_19.bmp,219/219_20.bmp,6
train,219/219_20.bmp,219/219_21.bmp,6
train,219/219_21.bmp,219/219_22.bmp,6
train,219/219_22.bmp,219/219_23.bmp,6
train,219/219_23.bmp,219/219_24.bmp,6
train,219/219_24.bmp,219/219_25.bmp,6
train,219/219_25.bmp,219/219_26.bmp,6
train,219/219_26.bmp,219/219_27.bmp,6
train,219/219_27.bmp,219/219_28.bmp,6
train,219/219_28.bmp,219/219_29.bmp,6
train,219/219_29.bmp,219/219_30.bmp,6
train,219/219_30.bmp,219/219_1.bmp,6
train,98/98_1.bmp,98/98_2.bmp,7
train,98/98_2.bmp,98/98_3.bmp,7
train,98/98_3.bmp,98/98_4.bmp,7
train,98/98_4.bmp,98/98_5.bmp,7
