group,sample1,sample2,label
train,001_l_1_1.bmp,001_l_1_2.bmp,0
train,001_l_1_1.bmp,001_l_1_3.bmp,0
train,001_l_1_1.bmp,001_l_1_4.bmp,0
train,001_l_1_1.bmp,001_l_1_5.bmp,0
train,001_l_1_1.bmp,001_l_1_6.bmp,0
train,001_l_1_2.bmp,001_l_1_3.bmp,0
train,001_l_1_2.bmp,001_l_1_4.bmp,0
train,001_l_1_2.bmp,001_l_1_5.bmp,0
train,001_l_1_2.bmp,001_l_1_6.bmp,0
train,001_l_1_3.bmp,001_l_1_4.bmp,0
train,001_l_1_3.bmp,001_l_1_5.bmp,0
train,001_l_1_3.bmp,001_l_1_6.bmp,0
train,001_l_1_4.bmp,001_l_1_5.bmp,0
train,001_l_1_4.bmp,001_l_1_6.bmp,0
train,001_l_1_5.bmp,001_l_1_6.bmp,0
train,001_l_2_1.bmp,001_l_2_2.bmp,1
train,001_l_2_1.bmp,001_l_2_3.bmp,1
train,001_l_2_1.bmp,001_l_2_4.bmp,1
train,001_l_2_1.bmp,001_l_2_5.bmp,1
train,001_l_2_1.bmp,001_l_2_6.bmp,1
train,001_l_2_2.bmp,001_l_2_3.bmp,1
train,001_l_2_2.bmp,001_l_2_4.bmp,1
train,001_l_2_2.bmp,001_l_2_5.bmp,1
train,001_l_2_2.bmp,001_l_2_6.bmp,1
train,001_l_2_3.bmp,001_l_2_4.bmp,1
train,001_l_2_3.bmp,001_l_2_5.bmp,1
train,001_l_2_3.bmp,001_l_2_6.bmp,1
train,001_l_2_4.bmp,001_l_2_5.bmp,1
train,001_l_2_4.bmp,001_l_2_6.bmp,1
train,001_l_2_5.bmp,001_l_2_6.bmp,1
train,001_l_3_1.bmp,001_l_3_2.bmp,2
train,001_l_3_1.bmp,001_l_3_3.bmp,2
train,001_l_3_1.bmp,001_l_3_4.bmp,2
train,001_l_3_1.bmp,001_l_3_5.bmp,2
train,001_l_3_1.bmp,001_l_3_6.bmp,2
train,001_l_3_2.bmp,001_l_3_3.bmp,2
train,001_l_3_2.bmp,001_l_3_4.bmp,2
train,001_l_3_2.bmp,001_l_3_5.bmp,2
train,001_l_3_2.bmp,001_l_3_6.bmp,2
train,001_l_3_3.bmp,001_l_3_4.bmp,2
