group,sample1,sample2,label
train,session1/02311.bmp,session1/02312.bmp,0
train,session1/02312.bmp,session1/02313.bmp,0
train,session1/02313.bmp,session1/02314.bmp,0
train,session1/02314.bmp,session1/02315.bmp,0
train,session1/02315.bmp,session1/02316.bmp,0
train,session1/02316.bmp,session1/02317.bmp,0
train,session1/02317.bmp,session1/02318.bmp,0
train,session1/02318.bmp,session1/02319.bmp,0
train,session1/02319.bmp,session1/02320.bmp,0
train,session1/02320.bmp,session2/02311.bmp,0
train,session2/02311.bmp,session2/02312.bmp,0
train,session2/02312.bmp,session2/02313.bmp,0
train,session2/02313.bmp,session2/02314.bmp,0
train,session2/02314.bmp,session2/02315.bmp,0
train,session2/02315.bmp,session2/02316.bmp,0
train,session2/02316.bmp,session2/02317.bmp,0
train,session2/02317.bmp,session2/02318.bmp,0
train,session2/02318.bmp,session2/02319.bmp,0
train,session2/02319.bmp,session2/02320.bmp,0
train,session2/02320.bmp,session1/02311.bmp,0
train,session1/04331.bmp,session1/04332.bmp,1
train,session1/04332.bmp,session1/04333.bmp,1
train,session1/04333.bmp,session1/04334.bmp,1
train,session1/04334.bmp,session1/04335.bmp,1
train,session1/04335.bmp,session1/04336.bmp,1
train,session1/04336.bmp,session1/04337.bmp,1
train,session1/04337.bmp,session1/04338.bmp,1
train,session1/04338.bmp,session1/04339.bmp,1
train,session1/04339.bmp,session1/04340.bmp,1
train,session1/04340.bmp,session2/04331.bmp,1
train,session2/04331.bmp,session2/04332.bmp,1
train,session2/04332.bmp,session2/04333.bmp,1
train,session2/04333.bmp,session2/04334.bmp,1
train,session2/04334.bmp,session2/04335.bmp,1
train,session2/04335.bmp,session2/04336.bmp,1
train,session2/04336.bmp,session2/04337.bmp,1
train,session2/04337.bmp,session2/04338.bmp,1
train,session2/04338.bmp,session2/04339.bmp,1
train,session2/04339.bmp,session2/04340.bmp,1
train,session2/04340.bmp,session1/04331.bmp,1
train,session1/02421.bmp,session1/02422.bmp,2
train,session1/02422.bmp,session1/02423.bmp,2
train,session1/02423.bmp,session1/02424.bmp,2
train,session1/02424.bmp,session1/02425.bmp,2
train,session1/02425.bmp,session1/02426.bmp,2
train,session1/02426.bmp,session1/02427.bmp,2
train,session1/02427.bmp,session1/02428.bmp,2
train,session1/02428.bmp,session1/02429.bmp,2
train,session1/02429.bmp,session1/02430.bmp,2
train,session1/02430.bmp,session2/02421.bmp,2
train,session2/02421.bmp,session2/02422.bmp,2
train,session2/02422.bmp,session2/02423.bmp,2
train,session2/02423.bmp,session2/02424.bmp,2
train,session2/02424.bmp,session2/02425.bmp,2
train,session2/02425.bmp,session2/02426.bmp,2
train,session2/02426.bmp,session2/02427.bmp,2
train,session2/02427.bmp,session2/02428.bmp,2
train,session2/02428.bmp,session2/02429.bmp,2
train,session2/02429.bmp,session2/02430.bmp,2
train,session2/02430.bmp,session1/02421.bmp,2
train,session1/01891.bmp,session1/01892.bmp,3
train,session1/01892.bmp,session1/01893.bmp,3
train,session1/01893.bmp,session1/01894.bmp,3
train,session1/01894.bmp,session1/01895.bmp,3
train,session1/01895.bmp,session1/01896.bmp,3
train,session1/01896.bmp,session1/01897.bmp,3
train,session1/01897.bmp,session1/01898.bmp,3
train,session1/01898.bmp,session1/01899.bmp,3
train,session1/01899.bmp,session1/01900.bmp,3
train,session1/01900.bmp,session2/01891.bmp,3
train,session2/01891.bmp,session2/01892.bmp,3
train,session2/01892.bmp,session2/01893.bmp,3
train,session2/01893.bmp,session2/01894.bmp,3
train,session2/01894.bmp,session2/01895.bmp,3
train,session2/01895.bmp,session2/01896.bmp,3
train,session2/01896.bmp,session2/01897.bmp,3
train,session2/01897.bmp,session2/01898.bmp,3
train,session2/01898.bmp,session2/01899.bmp,3
train,session2/01899.bmp,session2/01900.bmp,3
train,session2/01900.bmp,session1/01891.bmp,3
train,session1/02231.bmp,session1/02232.bmp,4
train,session1/02232.bmp,session1/02233.bmp,4
train,session1/02233.bmp,session1/02234.bmp,4
train,session1/02234.bmp,session1/02235.bmp,4
train,session1/02235.bmp,session1/02236.bmp,4
train,session1/02236.bmp,session1/02237.bmp,4
train,session1/02237.bmp,session1/02238.bmp,4
train,session1/02238.bmp,session1/02239.bmp,4
train,session1/02239.bmp,session1/02240.bmp,4
train,session1/02240.bmp,session2/02231.bmp,4
train,session2/02231.bmp,session2/02232.bmp,4
train,session2/02232.bmp,session2/02233.bmp,4
train,session2/02233.bmp,session2/02234.bmp,4
train,session2/02234.bmp,session2/02235.bmp,4
train,session2/02235.bmp,session2/02236.bmp,4
train,session2/02236.bmp,session2/02237.bmp,4
train,session2/02237.bmp,session2/02238.bmp,4
train,session2/02238.bmp,session2/02239.bmp,4
train,session2/02239.bmp,session2/02240.bmp,4
train,session2/02240.bmp,session1/02231.bmp,4
train,session1/00931.bmp,session1/00932.bmp,5
train,session1/00932.bmp,session1/00933.bmp,5
train,session1/00933.bmp,session1/00934.bmp,5
train,session1/00934.bmp,session1/00935.bmp,5
train,session1/00935.bmp,session1/00936.bmp,5
train,session1/00936.bmp,session1/00937.bmp,5
train,session1/00937.bmp,session1/00938.bmp,5
train,session1/00938.bmp,session1/00939.bmp,5
train,session1/00939.bmp,session1/00940.bmp,5
train,session1/00940.bmp,session2/00931.bmp,5
train,session2/00931.bmp,session2/00932.bmp,5
train,session2/00932.bmp,session2/00933.bmp,5
train,session2/00933.bmp,session2/00934.bmp,5
train,session2/00934.bmp,session2/00935.bmp,5
train,session2/00935.bmp,session2/00936.bmp,5
train,session2/00936.bmp,session2/00937.bmp,5
train,session2/00937.bmp,session2/00938.bmp,5
train,session2/00938.bmp,session2/00939.bmp,5
train,session2/00939.bmp,session2/00940.bmp,5
train,session2/00940.bmp,session1/00931.bmp,5
train,session1/02621.bmp,session1/02622.bmp,6
train,session1/02622.bmp,session1/02623.bmp,6
train,session1/02623.bmp,session1/02624.bmp,6
train,session1/02624.bmp,session1/02625.bmp,6
train,session1/02625.bmp,session1/02626.bmp,6
train,session1/02626.bmp,session1/02627.bmp,6
train,session1/02627.bmp,session1/02628.bmp,6
train,session1/02628.bmp,session1/02629.bmp,6
train,session1/02629.bmp,session1/02630.bmp,6
train,session1/02630.bmp,session2/02621.bmp,6
train,session2/02621.bmp,session2/02622.bmp,6
train,session2/02622.bmp,session2/02623.bmp,6
train,session2/02623.bmp,session2/02624.bmp,6
train,session2/02624.bmp,session2/02625.bmp,6
train,session2/02625.bmp,session2/02626.bmp,6
train,session2/02626.bmp,session2/02627.bmp,6
train,session2/02627.bmp,session2/02628.bmp,6
train,session2/02628.bmp,session2/02629.bmp,6
train,session2/02629.bmp,session2/02630.bmp,6
train,session2/02630.bmp,session1/02621.bmp,6
train,session1/02481.bmp,session1/02482.bmp,7
train,session1/02482.bmp,session1/02483.bmp,7
train,session1/02483.bmp,session1/02484.bmp,7
train,session1/02484.bmp,session1/02485.bmp,7
train,session1/02485.bmp,session1/02486.bmp,7
train,session1/02486.bmp,session1/02487.bmp,7
train,session1/02487.bmp,session1/02488.bmp,7
train,session1/02488.bmp,session1/02489.bmp,7
train,session1/02489.bmp,session1/02490.bmp,7
train,session1/02490.bmp,session2/02481.bmp,7
train,session2/02481.bmp,session2/02482.bmp,7
train,session2/02482.bmp,session2/02483.bmp,7
train,session2/02483.bmp,session2/02484.bmp,7
train,session2/02484.bmp,session2/02485.bmp,7
train,session2/02485.bmp,session2/02486.bmp,7
train,session2/02486.bmp,session2/02487.bmp,7
train,session2/02487.bmp,session2/02488.bmp,7
train,session2/02488.bmp,session2/02489.bmp,7
train,session2/02489.bmp,session2/02490.bmp,7
train,session2/02490.bmp,session1/02481.bmp,7
train,session1/05261.bmp,session1/05262.bmp,8
train,session1/05262.bmp,session1/05263.bmp,8
train,session1/05263.bmp,session1/05264.bmp,8
train,session1/05264.bmp,session1/05265.bmp,8
train,session1/05265.bmp,session1/05266.bmp,8
train,session1/05266.bmp,session1/05267.bmp,8
train,session1/05267.bmp,session1/05268.bmp,8
train,session1/05268.bmp,session1/05269.bmp,8
train,session1/05269.bmp,session1/05270.bmp,8
train,session1/05270.bmp,session2/05261.bmp,8
train,session2/05261.bmp,session2/05262.bmp,8
train,session2/05262.bmp,session2/05263.bmp,8
train,session2/05263.bmp,session2/05264.bmp,8
train,session2/05264.bmp,session2/05265.bmp,8
train,session2/05265.bmp,session2/05266.bmp,8
train,session2/05266.bmp,session2/05267.bmp,8
train,session2/05267.bmp,session2/05268.bmp,8
train,session2/05268.bmp,session2/05269.bmp,8
train,session2/05269.bmp,session2/05270.bmp,8
train,session2/05270.bmp,session1/05261.bmp,8
train,session1/02361.bmp,session1/02362.bmp,9
train,session1/02362.bmp,session1/02363.bmp,9
train,session1/02363.bmp,session1/02364.bmp,9
train,session1/02364.bmp,session1/02365.bmp,9
train,session1/02365.bmp,session1/02366.bmp,9
train,session1/02366.bmp,session1/02367.bmp,9
train,session1/02367.bmp,session1/02368.bmp,9
train,session1/02368.bmp,session1/02369.bmp,9
train,session1/02369.bmp,session1/02370.bmp,9
train,session1/02370.bmp,session2/02361.bmp,9
train,session2/02361.bmp,session2/02362.bmp,9
train,session2/02362.bmp,session2/02363.bmp,9
train,session2/02363.bmp,session2/02364.bmp,9
train,session2/02364.bmp,session2/02365.bmp,9
train,session2/02365.bmp,session2/02366.bmp,9
train,session2/02366.bmp,session2/02367.bmp,9
train,session2/02367.bmp,session2/02368.bmp,9
train,session2/02368.bmp,session2/02369.bmp,9
train,session2/02369.bmp,session2/02370.bmp,9
train,session2/02370.bmp,session1/02361.bmp,9
train,session1/02161.bmp,session1/02162.bmp,10
train,session1/02162.bmp,session1/02163.bmp,10
train,session1/02163.bmp,session1/02164.bmp,10
train,session1/02164.bmp,session1/02165.bmp,10
train,session1/02165.bmp,session1/02166.bmp,10
train,session1/02166.bmp,session1/02167.bmp,10
train,session1/02167.bmp,session1/02168.bmp,10
train,session1/02168.bmp,session1/02169.bmp,10
train,session1/02169.bmp,session1/02170.bmp,10
train,session1/02170.bmp,session2/02161.bmp,10
train,session2/02161.bmp,session2/02162.bmp,10
train,session2/02162.bmp,session2/02163.bmp,10
train,session2/02163.bmp,session2/02164.bmp,10
train,session2/02164.bmp,session2/02165.bmp,10
train,session2/02165.bmp,session2/02166.bmp,10
train,session2/02166.bmp,session2/02167.bmp,10
train,session2/02167.bmp,session2/02168.bmp,10
train,session2/02168.bmp,session2/02169.bmp,10
train,session2/02169.bmp,session2/02170.bmp,10
train,session2/02170.bmp,session1/02161.bmp,10
train,session1/01901.bmp,session1/01902.bmp,11
train,session1/01902.bmp,session1/01903.bmp,11
train,session1/01903.bmp,session1/01904.bmp,11
train,session1/01904.bmp,session1/01905.bmp,11
train,session1/01905.bmp,session1/01906.bmp,11
train,session1/01906.bmp,session1/01907.bmp,11
train,session1/01907.bmp,session1/01908.bmp,11
train,session1/01908.bmp,session1/01909.bmp,11
train,session1/01909.bmp,session1/01910.bmp,11
train,session1/01910.bmp,session2/01901.bmp,11
train,session2/01901.bmp,session2/01902.bmp,11
train,session2/01902.bmp,session2/01903.bmp,11
train,session2/01903.bmp,session2/01904.bmp,11
train,session2/01904.bmp,session2/01905.bmp,11
train,session2/01905.bmp,session2/01906.bmp,11
train,session2/01906.bmp,session2/01907.bmp,11
train,session2/01907.bmp,session2/01908.bmp,11
train,session2/01908.bmp,session2/01909.bmp,11
train,session2/01909.bmp,session2/01910.bmp,11
train,session2/01910.bmp,session1/01901.bmp,11
train,session1/02091.bmp,session1/02092.bmp,12
train,session1/02092.bmp,session1/02093.bmp,12
train,session1/02093.bmp,session1/02094.bmp,12
train,session1/02094.bmp,session1/02095.bmp,12
train,session1/02095.bmp,session1/02096.bmp,12
train,session1/02096.bmp,session1/02097.bmp,12
train,session1/02097.bmp,session1/02098.bmp,12
train,session1/02098.bmp,session1/02099.bmp,12
train,session1/02099.bmp,session1/02100.bmp,12
train,session1/02100.bmp,session2/02091.bmp,12
train,session2/02091.bmp,session2/02092.bmp,12
train,session2/02092.bmp,session2/02093.bmp,12
train,session2/02093.bmp,session2/02094.bmp,12
train,session2/02094.bmp,session2/02095.bmp,12
train,session2/02095.bmp,session2/02096.bmp,12
train,session2/02096.bmp,session2/02097.bmp,12
train,session2/02097.bmp,session2/02098.bmp,12
train,session2/02098.bmp,session2/02099.bmp,12
train,session2/02099.bmp,session2/02100.bmp,12
train,session2/02100.bmp,session1/02091.bmp,12
train,session1/00071.bmp,session1/00072.bmp,13
train,session1/00072.bmp,session1/00073.bmp,13
train,session1/00073.bmp,session1/00074.bmp,13
train,session1/00074.bmp,session1/00075.bmp,13
train,session1/00075.bmp,session1/00076.bmp,13
train,session1/00076.bmp,session1/00077.bmp,13
train,session1/00077.bmp,session1/00078.bmp,13
train,session1/00078.bmp,session1/00079.bmp,13
train,session1/00079.bmp,session1/00080.bmp,13
train,session1/00080.bmp,session2/00071.bmp,13
train,session2/00071.bmp,session2/00072.bmp,13
train,session2/00072.bmp,session2/00073.bmp,13
train,session2/00073.bmp,session2/00074.bmp,13
train,session2/00074.bmp,session2/00075.bmp,13
train,session2/00075.bmp,session2/00076.bmp,13
train,session2/00076.bmp,session2/00077.bmp,13
train,session2/00077.bmp,session2/00078.bmp,13
train,session2/00078.bmp,session2/00079.bmp,13
train,session2/00079.bmp,session2/00080.bmp,13
train,session2/00080.bmp,session1/00071.bmp,13
train,session1/01871.bmp,session1/01872.bmp,14
train,session1/01872.bmp,session1/01873.bmp,14
train,session1/01873.bmp,session1/01874.bmp,14
train,session1/01874.bmp,session1/01875.bmp,14
train,session1/01875.bmp,session1/01876.bmp,14
train,session1/01876.bmp,session1/01877.bmp,14
train,session1/01877.bmp,session1/01878.bmp,14
train,session1/01878.bmp,session1/01879.bmp,14
train,session1/01879.bmp,session1/01880.bmp,14
train,session1/01880.bmp,session2/01871.bmp,14
train,session2/01871.bmp,session2/01872.bmp,14
train,session2/01872.bmp,session2/01873.bmp,14
train,session2/01873.bmp,session2/01874.bmp,14
train,session2/01874.bmp,session2/01875.bmp,14
train,session2/01875.bmp,session2/01876.bmp,14
train,session2/01876.bmp,session2/01877.bmp,14
train,session2/01877.bmp,session2/01878.bmp,14
train,session2/01878.bmp,session2/01879.bmp,14
train,session2/01879.bmp,session2/01880.bmp,14
train,session2/01880.bmp,session1/01871.bmp,14
train,session1/02501.bmp,session1/02502.bmp,15
train,session1/02502.bmp,session1/02503.bmp,15
train,session1/02503.bmp,session1/02504.bmp,15
train,session1/02504.bmp,session1/02505.bmp,15
train,session1/02505.bmp,session1/02506.bmp,15
train,session1/02506.bmp,session1/02507.bmp,15
train,session1/02507.bmp,session1/02508.bmp,15
train,session1/02508.bmp,session1/02509.bmp,15
train,session1/02509.bmp,session1/02510.bmp,15
train,session1/02510.bmp,session2/02501.bmp,15
train,session2/02501.bmp,session2/02502.bmp,15
train,session2/02502.bmp,session2/02503.bmp,15
