group,sample1,sample2,label
train,100_1_1_1.bmp,,0
train,100_1_2_1.bmp,,0
train,100_1_3_1.bmp,,0
train,100_1_4_1.bmp,,0
train,100_1_5_1.bmp,,0
train,100_1_6_1.bmp,,0
train,100_2_1_1.bmp,,1
train,100_2_2_1.bmp,,1
train,100_2_3_1.bmp,,1
train,100_2_4_1.bmp,,1
train,100_2_5_1.bmp,,1
train,100_2_6_1.bmp,,1
train,100_3_1_1.bmp,,2
train,100_3_2_1.bmp,,2
train,100_3_3_1.bmp,,2
train,100_3_4_1.bmp,,2
train,100_3_5_1.bmp,,2
train,100_3_6_1.bmp,,2
train,100_4_1_1.bmp,,3
train,100_4_2_1.bmp,,3
train,100_4_3_1.bmp,,3
train,100_4_4_1.bmp,,3
train,100_4_5_1.bmp,,3
train,100_4_6_1.bmp,,3
train,101_1_1_1.bmp,,4
train,101_1_2_1.bmp,,4
train,101_1_3_1.bmp,,4
train,101_1_4_1.bmp,,4
train,101_1_5_1.bmp,,4
train,101_1_6_1.bmp,,4
train,101_2_1_1.bmp,,5
train,101_2_2_1.bmp,,5
train,101_2_3_1.bmp,,5
train,101_2_4_1.bmp,,5
train,101_2_5_1.bmp,,5
train,101_2_6_1.bmp,,5
train,101_3_1_1.bmp,,6
train,101_3_2_1.bmp,,6
train,101_3_3_1.bmp,,6
train,101_3_4_1.bmp,,6
train,101_3_5_1.bmp,,6
train,101_3_6_1.bmp,,6
train,101_4_1_1.bmp,,7
train,101_4_2_1.bmp,,7
train,101_4_3_1.bmp,,7
train,101_4_4_1.bmp,,7
train,101_4_5_1.bmp,,7
train,101_4_6_1.bmp,,7
train,102_1_1_1.bmp,,8
train,102_1_2_1.bmp,,8
train,102_1_3_1.bmp,,8
train,102_1_4_1.bmp,,8
train,102_1_5_1.bmp,,8
train,102_1_6_1.bmp,,8
train,102_2_1_1.bmp,,9
train,102_2_2_1.bmp,,9
train,102_2_3_1.bmp,,9
train,102_2_4_1.bmp,,9
train,102_2_5_1.bmp,,9
train,102_2_6_1.bmp,,9
train,102_3_1_1.bmp,,10
train,102_3_2_1.bmp,,10
train,102_3_3_1.bmp,,10
train,102_3_4_1.bmp,,10
train,102_3_5_1.bmp,,10
train,102_3_6_1.bmp,,10
train,102_4_1_1.bmp,,11
train,102_4_2_1.bmp,,11
train,102_4_3_1.bmp,,11
train,102_4_4_1.bmp,,11
train,102_4_5_1.bmp,,11
train,102_4_6_1.bmp,,11
train,103_1_1_1.bmp,,12
train,103_1_2_1.bmp,,12
train,103_1_3_1.bmp,,12
train,103_1_4_1.bmp,,12
train,103_1_5_1.bmp,,12
train,103_1_6_1.bmp,,12
train,103_2_1_1.bmp,,13
train,103_2_2_1.bmp,,13
train,103_2_3_1.bmp,,13
train,103_2_4_1.bmp,,13
train,103_2_5_1.bmp,,13
train,103_2_6_1.bmp,,13
train,103_3_1_1.bmp,,14
train,103_3_2_1.bmp,,14
train,103_3_3_1.bmp,,14
train,103_3_4_1.bmp,,14
train,103_3_5_1.bmp,,14
train,103_3_6_1.bmp,,14
train,103_4_1_1.bmp,,15
train,103_4_2_1.bmp,,15
train,103_4_3_1.bmp,,15
train,103_4_4_1.bmp,,15
train,103_4_5_1.bmp,,15
train,103_4_6_1.bmp,,15
train,104_1_1_1.bmp,,16
train,104_1_2_1.bmp,,16
train,104_1_3_1.bmp,,16
train,104_1_4_1.bmp,,16
train,104_1_5_1.bmp,,16
train,104_1_6_1.bmp,,16
train,104_2_1_1.bmp,,17
train,104_2_2_1.bmp,,17
train,104_2_3_1.bmp,,17
train,104_2_4_1.bmp,,17
train,104_2_5_1.bmp,,17
train,104_2_6_1.bmp,,17
train,104_3_1_1.bmp,,18
train,104_3_2_1.bmp,,18
train,104_3_3_1.bmp,,18
train,104_3_4_1.bmp,,18
train,104_3_5_1.bmp,,18
train,104_3_6_1.bmp,,18
train,104_4_1_1.bmp,,19
train,104_4_2_1.bmp,,19
train,104_4_3_1.bmp,,19
train,104_4_4_1.bmp,,19
train,104_4_5_1.bmp,,19
train,104_4_6_1.bmp,,19
train,105_1_1_1.bmp,,20
train,105_1_2_1.bmp,,20
train,105_1_3_1.bmp,,20
train,105_1_4_1.bmp,,20
train,105_1_5_1.bmp,,20
train,105_1_6_1.bmp,,20
train,105_2_1_1.bmp,,21
train,105_2_2_1.bmp,,21
train,105_2_3_1.bmp,,21
train,105_2_4_1.bmp,,21
train,105_2_5_1.bmp,,21
train,105_2_6_1.bmp,,21
train,105_3_1_1.bmp,,22
train,105_3_2_1.bmp,,22
train,105_3_3_1.bmp,,22
train,105_3_4_1.bmp,,22
train,105_3_5_1.bmp,,22
train,105_3_6_1.bmp,,22
train,105_4_1_1.bmp,,23
train,105_4_2_1.bmp,,23
train,105_4_3_1.bmp,,23
train,105_4_4_1.bmp,,23
train,105_4_5_1.bmp,,23
train,105_4_6_1.bmp,,23
train,106_1_1_1.bmp,,24
train,106_1_2_1.bmp,,24
train,106_1_3_1.bmp,,24
train,106_1_4_1.bmp,,24
train,106_1_5_1.bmp,,24
train,106_1_6_1.bmp,,24
train,106_2_1_1.bmp,,25
train,106_2_2_1.bmp,,25
train,106_2_3_1.bmp,,25
train,106_2_4_1.bmp,,25
train,106_2_5_1.bmp,,25
train,106_2_6_1.bmp,,25
train,106_3_1_1.bmp,,26
train,106_3_2_1.bmp,,26
train,106_3_3_1.bmp,,26
train,106_3_4_1.bmp,,26
train,106_3_5_1.bmp,,26
train,106_3_6_1.bmp,,26
train,106_4_1_1.bmp,,27
train,106_4_2_1.bmp,,27
train,106_4_3_1.bmp,,27
train,106_4_4_1.bmp,,27
train,106_4_5_1.bmp,,27
train,106_4_6_1.bmp,,27
train,107_1_1_1.bmp,,28
train,107_1_2_1.bmp,,28
train,107_1_3_1.bmp,,28
train,107_1_4_1.bmp,,28
train,107_1_5_1.bmp,,28
train,107_1_6_1.bmp,,28
train,107_2_1_1.bmp,,29
train,107_2_2_1.bmp,,29
train,107_2_3_1.bmp,,29
train,107_2_4_1.bmp,,29
train,107_2_5_1.bmp,,29
train,107_2_6_1.bmp,,29
train,107_3_1_1.bmp,,30
train,107_3_2_1.bmp,,30
train,107_3_3_1.bmp,,30
train,107_3_4_1.bmp,,30
train,107_3_5_1.bmp,,30
train,107_3_6_1.bmp,,30
train,107_4_1_1.bmp,,31
train,107_4_2_1.bmp,,31
train,107_4_3_1.bmp,,31
train,107_4_4_1.bmp,,31
train,107_4_5_1.bmp,,31
train,107_4_6_1.bmp,,31
train,108_1_1_1.bmp,,32
train,108_1_2_1.bmp,,32
train,108_1_3_1.bmp,,32
train,108_1_4_1.bmp,,32
train,108_1_5_1.bmp,,32
train,108_1_6_1.bmp,,32
train,108_2_1_1.bmp,,33
train,108_2_2_1.bmp,,33
train,108_2_3_1.bmp,,33
train,108_2_4_1.bmp,,33
train,108_2_5_1.bmp,,33
train,108_2_6_1.bmp,,33
train,108_3_1_1.bmp,,34
train,108_3_2_1.bmp,,34
train,108_3_3_1.bmp,,34
train,108_3_4_1.bmp,,34
train,108_3_5_1.bmp,,34
train,108_3_6_1.bmp,,34
train,108_4_1_1.bmp,,35
train,108_4_2_1.bmp,,35
train,108_4_3_1.bmp,,35
train,108_4_4_1.bmp,,35
train,108_4_5_1.bmp,,35
train,108_4_6_1.bmp,,35
train,109_1_1_1.bmp,,36
train,109_1_2_1.bmp,,36
train,109_1_3_1.bmp,,36
train,109_1_4_1.bmp,,36
train,109_1_5_1.bmp,,36
train,109_1_6_1.bmp,,36
train,109_2_1_1.bmp,,37
train,109_2_2_1.bmp,,37
train,109_2_3_1.bmp,,37
train,109_2_4_1.bmp,,37
train,109_2_5_1.bmp,,37
train,109_2_6_1.bmp,,37
train,109_3_1_1.bmp,,38
train,109_3_2_1.bmp,,38
train,109_3_3_1.bmp,,38
train,109_3_4_1.bmp,,38
train,109_3_5_1.bmp,,38
train,109_3_6_1.bmp,,38
train,109_4_1_1.bmp,,39
train,109_4_2_1.bmp,,39
train,109_4_3_1.bmp,,39
train,109_4_4_1.bmp,,39
train,109_4_5_1.bmp,,39
train,109_4_6_1.bmp,,39
train,10_1_1_1.bmp,,40
train,10_1_2_1.bmp,,40
train,10_1_3_1.bmp,,40
train,10_1_4_1.bmp,,40
train,10_1_5_1.bmp,,40
train,10_1_6_1.bmp,,40
train,10_2_1_1.bmp,,41
train,10_2_2_1.bmp,,41
train,10_2_3_1.bmp,,41
train,10_2_4_1.bmp,,41
train,10_2_5_1.bmp,,41
train,10_2_6_1.bmp,,41
train,10_3_1_1.bmp,,42
train,10_3_2_1.bmp,,42
train,10_3_3_1.bmp,,42
train,10_3_4_1.bmp,,42
train,10_3_5_1.bmp,,42
train,10_3_6_1.bmp,,42
train,10_4_1_1.bmp,,43
train,10_4_2_1.bmp,,43
train,10_4_3_1.bmp,,43
train,10_4_4_1.bmp,,43
train,10_4_5_1.bmp,,43
train,10_4_6_1.bmp,,43
train,110_1_1_1.bmp,,44
train,110_1_2_1.bmp,,44
train,110_1_3_1.bmp,,44
train,110_1_4_1.bmp,,44
train,110_1_5_1.bmp,,44
train,110_1_6_1.bmp,,44
train,110_2_1_1.bmp,,45
train,110_2_2_1.bmp,,45
train,110_2_3_1.bmp,,45
train,110_2_4_1.bmp,,45
train,110_2_5_1.bmp,,45
train,110_2_6_1.bmp,,45
train,110_3_1_1.bmp,,46
train,110_3_2_1.bmp,,46
train,110_3_3_1.bmp,,46
train,110_3_4_1.bmp,,46
train,110_3_5_1.bmp,,46
train,110_3_6_1.bmp,,46
train,110_4_1_1.bmp,,47
train,110_4_2_1.bmp,,47
train,110_4_3_1.bmp,,47
train,110_4_4_1.bmp,,47
train,110_4_5_1.bmp,,47
train,110_4_6_1.bmp,,47
train,111_1_1_1.bmp,,48
train,111_1_2_1.bmp,,48
train,111_1_3_1.bmp,,48
train,111_1_4_1.bmp,,48
train,111_1_5_1.bmp,,48
train,111_1_6_1.bmp,,48
train,111_2_1_1.bmp,,49
train,111_2_2_1.bmp,,49
train,111_2_3_1.bmp,,49
train,111_2_4_1.bmp,,49
train,111_2_5_1.bmp,,49
train,111_2_6_1.bmp,,49
train,111_3_1_1.bmp,,50
train,111_3_2_1.bmp,,50
train,111_3_3_1.bmp,,50
train,111_3_4_1.bmp,,50
train,111_3_5_1.bmp,,50
train,111_3_6_1.bmp,,50
train,111_4_1_1.bmp,,51
train,111_4_2_1.bmp,,51
train,111_4_3_1.bmp,,51
train,111_4_4_1.bmp,,51
train,111_4_5_1.bmp,,51
train,111_4_6_1.bmp,,51
train,112_1_1_1.bmp,,52
train,112_1_2_1.bmp,,52
train,112_1_3_1.bmp,,52
train,112_1_4_1.bmp,,52
train,112_1_5_1.bmp,,52
train,112_1_6_1.bmp,,52
train,112_2_1_1.bmp,,53
train,112_2_2_1.bmp,,53
train,112_2_3_1.bmp,,53
train,112_2_4_1.bmp,,53
train,112_2_5_1.bmp,,53
train,112_2_6_1.bmp,,53
train,112_3_1_1.bmp,,54
train,112_3_2_1.bmp,,54
train,112_3_3_1.bmp,,54
train,112_3_4_1.bmp,,54
train,112_3_5_1.bmp,,54
train,112_3_6_1.bmp,,54
train,112_4_1_1.bmp,,55
train,112_4_2_1.bmp,,55
train,112_4_3_1.bmp,,55
train,112_4_4_1.bmp,,55
train,112_4_5_1.bmp,,55
train,112_4_6_1.bmp,,55
train,113_1_1_1.bmp,,56
train,113_1_2_1.bmp,,56
train,113_1_3_1.bmp,,56
train,113_1_4_1.bmp,,56
train,113_1_5_1.bmp,,56
train,113_1_6_1.bmp,,56
train,113_2_1_1.bmp,,57
train,113_2_2_1.bmp,,57
train,113_2_3_1.bmp,,57
train,113_2_4_1.bmp,,57
train,113_2_5_1.bmp,,57
train,113_2_6_1.bmp,,57
train,113_3_1_1.bmp,,58
train,113_3_2_1.bmp,,58
train,113_3_3_1.bmp,,58
train,113_3_4_1.bmp,,58
train,113_3_5_1.bmp,,58
train,113_3_6_1.bmp,,58
train,113_4_1_1.bmp,,59
train,113_4_2_1.bmp,,59
train,113_4_3_1.bmp,,59
train,113_4_4_1.bmp,,59
train,113_4_5_1.bmp,,59
train,113_4_6_1.bmp,,59
train,114_1_1_1.bmp,,60
train,114_1_2_1.bmp,,60
train,114_1_3_1.bmp,,60
train,114_1_4_1.bmp,,60
train,114_1_5_1.bmp,,60
train,114_1_6_1.bmp,,60
train,114_2_1_1.bmp,,61
train,114_2_2_1.bmp,,61
train,114_2_3_1.bmp,,61
train,114_2_4_1.bmp,,61
train,114_2_5_1.bmp,,61
train,114_2_6_1.bmp,,61
train,114_3_1_1.bmp,,62
train,114_3_2_1.bmp,,62
train,114_3_3_1.bmp,,62
train,114_3_4_1.bmp,,62
train,114_3_5_1.bmp,,62
train,114_3_6_1.bmp,,62
train,114_4_1_1.bmp,,63
train,114_4_2_1.bmp,,63
train,114_4_3_1.bmp,,63
train,114_4_4_1.bmp,,63
