group,sample1,sample2,label
train,026-M/01/026_R_1_1.png,026-M/01/026_R_1_2.png,0
train,026-M/01/026_R_1_2.png,026-M/01/026_R_1_3.png,0
train,026-M/01/026_R_1_3.png,026-M/01/026_R_1_4.png,0
train,026-M/01/026_R_1_4.png,026-M/01/026_R_1_5.png,0
train,026-M/01/026_R_1_5.png,026-M/02/026_R_2_1.png,0
train,026-M/02/026_R_2_1.png,026-M/02/026_R_2_2.png,0
train,026-M/02/026_R_2_2.png,026-M/02/026_R_2_3.png,0
train,026-M/02/026_R_2_3.png,026-M/02/026_R_2_4.png,0
train,026-M/02/026_R_2_4.png,026-M/02/026_R_2_5.png,0
train,026-M/02/026_R_2_5.png,026-M/01/026_R_1_1.png,0
train,031-M/01/031_L_1_1.png,031-M/01/031_L_1_2.png,1
train,031-M/01/031_L_1_2.png,031-M/01/031_L_1_3.png,1
train,031-M/01/031_L_1_3.png,031-M/01/031_L_1_4.png,1
train,031-M/01/031_L_1_4.png,031-M/01/031_L_1_5.png,1
train,031-M/01/031_L_1_5.png,031-M/02/031_L_2_1.png,1
train,031-M/02/031_L_2_1.png,031-M/02/031_L_2_2.png,1
train,031-M/02/031_L_2_2.png,031-M/02/031_L_2_3.png,1
train,031-M/02/031_L_2_3.png,031-M/02/031_L_2_4.png,1
train,031-M/02/031_L_2_4.png,031-M/02/031_L_2_5.png,1
train,031-M/02/031_L_2_5.png,031-M/01/031_L_1_1.png,1
train,026-M/01/026_L_1_1.png,026-M/01/026_L_1_2.png,2
train,026-M/01/026_L_1_2.png,026-M/01/026_L_1_3.png,2
train,026-M/01/026_L_1_3.png,026-M/01/026_L_1_4.png,2
train,026-M/01/026_L_1_4.png,026-M/01/026_L_1_5.png,2
train,026-M/01/026_L_1_5.png,026-M/02/026_L_2_1.png,2
train,026-M/02/026_L_2_1.png,026-M/02/026_L_2_2.png,2
train,026-M/02/026_L_2_2.png,026-M/02/026_L_2_3.png,2
train,026-M/02/026_L_2_3.png,026-M/02/026_L_2_4.png,2
train,026-M/02/026_L_2_4.png,026-M/02/026_L_2_5.png,2
train,026-M/02/026_L_2_5.png,026-M/01/026_L_1_1.png,2
train,016-F/01/016_R_1_1.png,016-F/01/016_R_1_2.png,3
train,016-F/01/016_R_1_2.png,016-F/01/016_R_1_3.png,3
train,016-F/01/016_R_1_3.png,016-F/01/016_R_1_4.png,3
train,016-F/01/016_R_1_4.png,016-F/01/016_R_1_5.png,3
train,016-F/01/016_R_1_5.png,016-F/02/016_R_2_1.png,3
train,016-F/02/016_R_2_1.png,016-F/02/016_R_2_2.png,3
train,016-F/02/016_R_2_2.png,016-F/02/016_R_2_3.png,3
train,016-F/02/016_R_2_3.png,016-F/02/016_R_2_4.png,3
train,016-F/02/016_R_2_4.png,016-F/02/016_R_2_5.png,3
train,016-F/02/016_R_2_5.png,016-F/01/016_R_1_1.png,3
train,009-M/01/009_R_1_1.png,009-M/01/009_R_1_2.png,4
train,009-M/01/009_R_1_2.png,009-M/01/009_R_1_3.png,4
train,009-M/01/009_R_1_3.png,009-M/01/009_R_1_4.png,4
train,009-M/01/009_R_1_4.png,009-M/01/009_R_1_5.png,4
train,009-M/01/009_R_1_5.png,009-M/02/009_R_2_1.png,4
train,009-M/02/009_R_2_1.png,009-M/02/009_R_2_2.png,4
train,009-M/02/009_R_2_2.png,009-M/02/009_R_2_3.png,4
train,009-M/02/009_R_2_3.png,009-M/02/009_R_2_4.png,4
train,009-M/02/009_R_2_4.png,009-M/02/009_R_2_5.png,4
train,009-M/02/009_R_2_5.png,009-M/01/009_R_1_1.png,4
train,039-F/01/039_L_1_1.png,039-F/01/039_L_1_2.png,5
train,039-F/01/039_L_1_2.png,039-F/01/039_L_1_3.png,5
train,039-F/01/039_L_1_3.png,039-F/01/039_L_1_4.png,5
train,039-F/01/039_L_1_4.png,039-F/01/039_L_1_5.png,5
train,039-F/01/039_L_1_5.png,039-F/02/039_L_2_1.png,5
train,039-F/02/039_L_2_1.png,039-F/02/039_L_2_2.png,5
train,039-F/02/039_L_2_2.png,039-F/02/039_L_2_3.png,5
train,039-F/02/039_L_2_3.png,039-F/02/039_L_2_4.png,5
train,039-F/02/039_L_2_4.png,039-F/02/039_L_2_5.png,5
train,039-F/02/039_L_2_5.png,039-F/01/039_L_1_1.png,5
train,017-M/01/017_R_1_1.png,017-M/01/017_R_1_2.png,6
train,017-M/01/017_R_1_2.png,017-M/01/017_R_1_3.png,6
train,017-M/01/017_R_1_3.png,017-M/01/017_R_1_4.png,6
train,017-M/01/017_R_1_4.png,017-M/01/017_R_1_5.png,6
